=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24, reshaped to one line per record.
# Somalia (706) does not report; rows are partner (mirror) data: other countries' reported exports to Somalia and Gulf imports from Somalia and from the World.
# Filter: partner2Code 0, customsCode C00, motCode 0 (all customs regimes and transport modes). Values in current USD; net weight in kg.
# Format: Reporter (code) | Flow | Partner | HS code | Year | Trade value USD | Net weight kg | HS version
India (699) | Export | Somalia | HS 1101 | 2022 | 47792170.397 | 141856600.0 | H6
Italy (380) | Export | Somalia | HS 1101 | 2022 | 2523.105 | 2000.0 | H6
Kenya (404) | Export | Somalia | HS 1101 | 2022 | 5667.514 | 2066.0 | H6
Netherlands (528) | Export | Somalia | HS 1101 | 2022 | 17773.355 | 25390.0 | H6
Oman (512) | Export | Somalia | HS 1101 | 2022 | 32450054.566 | 68282000.0 | H6
Turkiye (792) | Export | Somalia | HS 1101 | 2022 | 56791334.0 | 125109058.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1101 | 2022 | 13248895.298 | 27907210.4 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1101 | 2022 | 163076.646 | 188727.0 | H6
Djibouti (262) | Export | Somalia | HS 1101 | 2023 | 18529.711 | 50580.0 | H3
Egypt (818) | Export | Somalia | HS 1101 | 2023 | 22240695.0 | 31927240.925 | H6
India (699) | Export | Somalia | HS 1101 | 2023 | 3106619.37 | 8386000.0 | H6
Kenya (404) | Export | Somalia | HS 1101 | 2023 | 1243.702 | 2010.0 | H6
Netherlands (528) | Export | Somalia | HS 1101 | 2023 | 17145.677 | 20350.0 | H6
Oman (512) | Export | Somalia | HS 1101 | 2023 | 30339240.525 | 65467549.0 | H6
Oman (512) | Re-export | Somalia | HS 1101 | 2023 | 217685.305 | 624549.0 | H6
Turkiye (792) | Export | Somalia | HS 1101 | 2023 | 95264404.0 | 277717003.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1101 | 2023 | 6991429.324 | 16159375.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1101 | 2023 | 33772.974 | 75375.0 | H6
Egypt (818) | Export | Somalia | HS 1101 | 2024 | 60178462.5 | 86299445.275 | H6
Italy (380) | Export | Somalia | HS 1101 | 2024 | 9080.09 | 13620.0 | H6
Kenya (404) | Export | Somalia | HS 1101 | 2024 | 75607.168 | 96697.7 | H6
Netherlands (528) | Export | Somalia | HS 1101 | 2024 | 16635.105 | 19180.0 | H6
Oman (512) | Export | Somalia | HS 1101 | 2024 | 31402556.518 | 82358500.0 | H6
Turkiye (792) | Export | Somalia | HS 1101 | 2024 | 59017409.0 | 183228059.0 | H6
Yemen (887) | Export | Somalia | HS 1101 | 2024 | 712250.0 | 2035000.0 | H5
Netherlands (528) | Export | Somalia | HS 1507 | 2021 | 915.441 | 538.0 | H5
Spain (724) | Export | Somalia | HS 1507 | 2021 | 118991.008 | 79787.6 | H5
Netherlands (528) | Export | Somalia | HS 1507 | 2022 | 5537.983 | 2727.0 | H6
Spain (724) | Export | Somalia | HS 1507 | 2022 | 1283796.279 | 580004.0 | H6
Netherlands (528) | Export | Somalia | HS 1507 | 2023 | 2611.264 | 1308.0 | H6
Spain (724) | Export | Somalia | HS 1507 | 2023 | 837359.007 | 554833.0 | H6
Yemen (887) | Export | Somalia | HS 1507 | 2023 | 8343.419 | 68700.0 | H4
Netherlands (528) | Export | Somalia | HS 1507 | 2024 | 18.4 | 12.0 | H6
Spain (724) | Export | Somalia | HS 1507 | 2024 | 1408879.59 | 1029800.0 | H6
Yemen (887) | Export | Somalia | HS 1507 | 2024 | 16125.0 | 97700.0 | H5
Spain (724) | Export | Somalia | HS 1508 | 2021 | 137.848 | 41.36 | H5
Spain (724) | Export | Somalia | HS 1508 | 2022 | 1671.662 | 467.92 | H6
United Arab Emirates (784) | Export | Somalia | HS 1508 | 2022 | 947.921 | 329.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1508 | 2022 | 947.921 | 329.0 | H6
Spain (724) | Export | Somalia | HS 1508 | 2023 | 482.786 | 110.285 | H6
Yemen (887) | Export | Somalia | HS 1508 | 2023 | 273.449 | 450.0 | H4
