=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24 with tools/comtrade_pull_3.py, one line per record.
# (1) Imports of fresh or chilled bovine meat (HS 0201) in 2023 by the six GCC states, by partner (0 = World).
# (2) Imports from Somalia (706) of lac, natural gums, resins and gum-resins (HS 1301) and essential oils (HS 3301) in 2023; twelve partners queried, eleven reporting (Oman none).
# Filter: partner2Code 0, customsCode C00, motCode 0. Values in current USD; net weight in kg (blank where not reported). Partner names from UN Comtrade M49 codes.
# Format: Reporter (code) | Flow | Partner (code) | HS code | Year | Trade value USD | Net weight kg | Quantity | Quantity unit code | HS version
Kuwait (414) | Import | Canada (124) | HS 0201 | 2023 | 9174.046 | 1050.0 | 1050.0 | 8 | H6
Kuwait (414) | Import | Australia (36) | HS 0201 | 2023 | 10555944.242 | 1035541.36 | 1035541.36 | 8 | H6
Kuwait (414) | Import | Egypt (818) | HS 0201 | 2023 | 642554.335 | 187112.0 | 187112.0 | 8 | H6
Kuwait (414) | Import | Netherlands (528) | HS 0201 | 2023 | 251485.403 | 22731.89 | 22731.89 | 8 | H6
Kuwait (414) | Import | Saudi Arabia (682) | HS 0201 | 2023 | 101181.456 | 15600.0 | 15600.0 | 8 | H6
Kuwait (414) | Import | United Arab Emirates (784) | HS 0201 | 2023 | 104703.925 | 9363.7 | 9363.7 | 8 | H6
Kuwait (414) | Import | United Kingdom (826) | HS 0201 | 2023 | 134784.899 | 15886.6 | 15886.6 | 8 | H6
Kuwait (414) | Import | USA (842) | HS 0201 | 2023 | 228465.645 | 15438.56 | 15438.56 | 8 | H6
Kuwait (414) | Import | India (699) | HS 0201 | 2023 | 4613607.452 | 970404.0 | 970404.0 | 8 | H6
Kuwait (414) | Import | World (0) | HS 0201 | 2023 | 122620094.414 | 16606996.935 | 16606996.935 | 8 | H6
Bahrain (48) | Import | Uruguay (858) | HS 0201 | 2023 | 514.838 | 51.963 | 51.963 | 8 | H6
Bahrain (48) | Import | United Rep. of Tanzania (834) | HS 0201 | 2023 | 6942.205 | 1245.081 | 1245.081 | 8 | H6
Bahrain (48) | Import | Ukraine (804) | HS 0201 | 2023 | 5232.622 | 797.175 | 797.175 | 8 | H6
Bahrain (48) | Import | Russian Federation (643) | HS 0201 | 2023 | 63362.784 | 6744.111 | 6744.111 | 8 | H6
Bahrain (48) | Import | Paraguay (600) | HS 0201 | 2023 | 19873.492 | 2005.849 | 2005.849 | 8 | H6
Bahrain (48) | Import | New Zealand (554) | HS 0201 | 2023 | 5094384.298 | 536646.986 | 536646.986 | 8 | H6
Bahrain (48) | Import | Kenya (404) | HS 0201 | 2023 | 1311.867 | 235.283 | 235.283 | 8 | H6
Bahrain (48) | Import | Argentina (32) | HS 0201 | 2023 | 91735.183 | 9258.911 | 9258.911 | 8 | H6
Bahrain (48) | Import | Ireland (372) | HS 0201 | 2023 | 61544.471 | 6211.736 | 6211.736 | 8 | H6
Bahrain (48) | Import | Brazil (76) | HS 0201 | 2023 | 1258722.504 | 127043.942 | 127043.942 | 8 | H6
Bahrain (48) | Import | South Africa (710) | HS 0201 | 2023 | 2454237.971 | 262300.393 | 262300.393 | 8 | H6
Bahrain (48) | Import | Australia (36) | HS 0201 | 2023 | 3355072.362 | 355057.36 | 355057.36 | 8 | H6
Bahrain (48) | Import | Pakistan (586) | HS 0201 | 2023 | 20008321.721 | 3583643.367 | 3583643.367 | 8 | H6
Bahrain (48) | Import | Egypt (818) | HS 0201 | 2023 | 41724.194 | 7483.215 | 7483.215 | 8 | H6
Bahrain (48) | Import | Netherlands (528) | HS 0201 | 2023 | 118004.364 | 14548.028 | 14548.028 | 8 | H6
Bahrain (48) | Import | France (251) | HS 0201 | 2023 | 8207.33 | 1219.738 | 1219.738 | 8 | H6
Bahrain (48) | Import | USA (842) | HS 0201 | 2023 | 4350438.886 | 462751.239 | 462751.239 | 8 | H6
Bahrain (48) | Import | India (699) | HS 0201 | 2023 | 5978860.043 | 603924.178 | 603924.178 | 8 | H6
Bahrain (48) | Import | World (0) | HS 0201 | 2023 | 42918491.135 | 5981168.557 | 5981168.557 | 8 | H6
United Arab Emirates (784) | Import | Somalia (706) | HS 1301 | 2023 | 1871463.863 | 1291910.0 | 1291910.0 | 8 | H6
United Arab Emirates (784) | Import | Somalia (706) | HS 3301 | 2023 | 1764.83 | 5.27 | 5.27 | 8 | H6
Saudi Arabia (682) | Import | Somalia (706) | HS 1301 | 2023 | 509602.121 | 45963.464 | 45963.464 | 8 | H6
China (156) | Import | Somalia (706) | HS 1301 | 2023 | 1440380.0 | 471289.0 | 471289.0 | 8 | H6
China (156) | Import | Somalia (706) | HS 3301 | 2023 | 15960.0 | 41.654 | 41.654 | 8 | H6
India (699) | Import | Somalia (706) | HS 1301 | 2023 | 460545.804 | 91855.0 | 91855.0 | 8 | H6
France (251) | Import | Somalia (706) | HS 1301 | 2023 | 2760506.817 | 242043.0 | 242043.0 | 8 | H6
France (251) | Import | Somalia (706) | HS 3301 | 2023 | 37458.528 | 200.0 | 200.0 | 8 | H6
Germany (276) | Import | Somalia (706) | HS 1301 | 2023 | 1746358.007 | 151850.412 | 151850.412 | 8 | H6
Germany (276) | Import | Somalia (706) | HS 3301 | 2023 | 119255.167 | 418.483 | 418.483 | 8 | H6
USA (842) | Import | Somalia (706) | HS 1301 | 2023 | 223105.0 | 22012.0 | 22012.0 | 8 | H6
USA (842) | Import | Somalia (706) | HS 3301 | 2023 | 635238.0 | 3300.0 | 3300.0 | 8 | H6
United Kingdom (826) | Import | Somalia (706) | HS 1301 | 2023 | 385880.652 | 79113.0 | 79113.0 | 8 | H6
United Kingdom (826) | Import | Somalia (706) | HS 3301 | 2023 | 54252.193 | 347.532 | 347.532 | 8 | H6
Italy (380) | Import | Somalia (706) | HS 1301 | 2023 | 457463.128 | 37251.0 | 37251.0 | 8 | H6
Egypt (818) | Import | Somalia (706) | HS 1301 | 2023 | 1067078.697 |  | 0.0 | -1 | H6
Egypt (818) | Import | Somalia (706) | HS 3301 | 2023 | 4815.791 |  | 0.0 | -1 | H6
Yemen (887) | Import | Somalia (706) | HS 1301 | 2023 | 34999.456 | 85433.0 | 85433.0 | 8 | H4
