scenario,level,cluster,name,year,metric,value
low,line,c1,fish,2032,induced_va,150183.2648829432
low,line,c1,fish,2032,total_va,3476464.4648829433
low,line,c1,fish,2032,household_income,1564409.0091973245
low,line,c1,fish,2032,import_substitution,2405700.0
low,line,c1,fish,2032,exports,5613300.0
low,line,c1,fish,2032,imported_inputs,1202850.0
low,line,c1,fish,2032,forgone_exports,0.0
low,line,c1,fish,2032,net_fx,6816150.0
low,line,c1,fish,2032,jobs,288.0
low,line,c1,fish,2032,investment,9000000.000000002
low,line,c1,fish,2032,capital_goods_imports,7650000.000000001
low,line,c1,fish,2032,tax_gross,86911.61162207359
low,line,c1,fish,2032,customs_forgone,144342.0
low,line,c1,fish,2032,tax_revenue,-57430.388377926414
low,line,c2,sesame,2028,volume,112.5
low,line,c2,sesame,2028,gross_output,104625.0
low,line,c2,sesame,2028,value_added,10462.5
low,line,c2,sesame,2028,indirect_va,5335.875
low,line,c2,sesame,2028,induced_va,713.3045568561874
low,line,c2,sesame,2028,total_va,16511.679556856187
low,line,c2,sesame,2028,household_income,7430.255800585284
low,line,c2,sesame,2028,import_substitution,5231.25
low,line,c2,sesame,2028,exports,99393.75
low,line,c2,sesame,2028,imported_inputs,5231.25
low,line,c2,sesame,2028,forgone_exports,104625.0
low,line,c2,sesame,2028,net_fx,-5231.25
low,line,c2,sesame,2028,jobs,1.7999999999999998
low,line,c2,sesame,2028,investment,1500000.0
low,line,c2,sesame,2028,capital_goods_imports,1275000.0
low,line,c2,sesame,2028,tax_gross,412.7919889214047
low,line,c2,sesame,2028,customs_forgone,313.875
low,line,c2,sesame,2028,tax_revenue,98.91698892140471
low,line,c2,sesame,2029,volume,712.5
low,line,c2,sesame,2029,gross_output,662625.0
low,line,c2,sesame,2029,value_added,66262.5
low,line,c2,sesame,2029,indirect_va,33793.875
low,line,c2,sesame,2029,induced_va,4517.595526755854
low,line,c2,sesame,2029,total_va,104573.97052675586
low,line,c2,sesame,2029,household_income,47058.286737040136
low,line,c2,sesame,2029,import_substitution,33131.25
low,line,c2,sesame,2029,exports,629493.75
low,line,c2,sesame,2029,imported_inputs,33131.25
low,line,c2,sesame,2029,forgone_exports,662625.0
low,line,c2,sesame,2029,net_fx,-33131.25
low,line,c2,sesame,2029,jobs,7.199999999999999
low,line,c2,sesame,2029,investment,4500000.000000001
low,line,c2,sesame,2029,capital_goods_imports,3825000.0000000005
low,line,c2,sesame,2029,tax_gross,2614.349263168897
low,line,c2,sesame,2029,customs_forgone,1987.875
low,line,c2,sesame,2029,tax_revenue,626.4742631688969
low,line,c2,sesame,2030,volume,1950.0
low,line,c2,sesame,2030,gross_output,1813500.0
low,line,c2,sesame,2030,value_added,181350.0
low,line,c2,sesame,2030,indirect_va,92488.5
low,line,c2,sesame,2030,induced_va,12363.945652173914
low,line,c2,sesame,2030,total_va,286202.4456521739
low,line,c2,sesame,2030,household_income,128791.10054347826
low,line,c2,sesame,2030,import_substitution,90675.0
low,line,c2,sesame,2030,exports,1722825.0
low,line,c2,sesame,2030,imported_inputs,90675.0
low,line,c2,sesame,2030,forgone_exports,1813500.0
low,line,c2,sesame,2030,net_fx,-90675.0
low,line,c2,sesame,2030,jobs,14.399999999999999
low,line,c2,sesame,2030,investment,6000000.0
low,line,c2,sesame,2030,capital_goods_imports,5100000.0
low,line,c2,sesame,2030,tax_gross,7155.061141304348
low,line,c2,sesame,2030,customs_forgone,5440.5
low,line,c2,sesame,2030,tax_revenue,1714.561141304348
low,line,c2,sesame,2031,volume,3450.0
low,line,c2,sesame,2031,gross_output,3208500.0
low,line,c2,sesame,2031,value_added,320850.0
low,line,c2,sesame,2031,indirect_va,163633.5
low,line,c2,sesame,2031,induced_va,21874.67307692308
