id,parameter,low,base,high,national.value_added.2032.at_low,national.value_added.2032.at_high,national.value_added.2032.swing,national.total_va.2032.at_low,national.total_va.2032.at_high,national.total_va.2032.swing,national.total_va_share_gdp.2032.at_low,national.total_va_share_gdp.2032.at_high,national.total_va_share_gdp.2032.swing,national.household_income.2032.at_low,national.household_income.2032.at_high,national.household_income.2032.swing,national.tax_revenue.2032.at_low,national.tax_revenue.2032.at_high,national.tax_revenue.2032.swing,national.jobs.2032.at_low,national.jobs.2032.at_high,national.jobs.2032.swing,national.net_fx.2032.at_low,national.net_fx.2032.at_high,national.net_fx.2032.swing,climate.total.avoided_t.2032.at_low,climate.total.avoided_t.2032.at_high,climate.total.avoided_t.2032.swing
A-040,Fish and seafood processing and cold chain: share of output sold in Somalia (replacing imports); the rest is exported,0.2,0.3,0.5,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,1.1183393991176471,0.3718433991176473,0.7464959999999998,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-041,Fish and seafood processing and cold chain: imported inputs as a share of gross output,0.05,0.1,0.15,89.760528,89.760528,0.0,203.39078492647056,197.67313786764703,5.71764705882353,0.008348809618601787,0.008114110948365899,0.00023469867023588782,122.03447095588234,118.60388272058823,3.4305882352941097,0.9495544579411768,0.7894603402941175,0.16009411764705928,17836.8,17836.8,0.0,231.267276,223.491276,7.7760000000000105,239442.1673810272,239442.1673810272,0.0
A-042,"Fish and seafood processing and cold chain: share of domestic input supply that is additional (new production, not diverted from other buyers)",0.6,0.8,0.9,89.760528,89.760528,0.0,190.383137867647,205.6063731617647,15.2232352941177,0.007814870143815142,0.008439755353318196,0.0006248852095030542,114.22988272058822,123.36382389705881,9.133941176470586,0.5853403402941177,1.011590928529412,0.42625058823529427,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-047,"Sesame hulling, tahini and halva: direct jobs per unit of annual capacity in operation",0.004,0.008,0.015,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17756.8,17976.8,220.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-048,"Sesame hulling, tahini and halva: capital cost per unit of annual capacity",800.0,1500.0,2000.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-049,"Sesame hulling, tahini and halva: share of output sold in Somalia (replacing imports); the rest is exported",0.0,0.05,0.1,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.9057953991176471,0.8332193991176471,0.07257599999999997,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-050,"Sesame hulling, tahini and halva: imported inputs as a share of gross output",0.01,0.03,0.05,89.760528,89.760528,0.0,200.65703492647054,200.40688786764701,0.2501470588235293,0.008236594316895253,0.008226326250072432,1.0268066822820623e-05,120.39422095588235,120.24413272058823,0.1500882352941204,0.8730094579411767,0.8660053402941179,0.007004117647058772,17836.8,17836.8,0.0,227.832876,226.925676,0.9071999999999889,239442.1673810272,239442.1673810272,0.0
A-051,"Sesame hulling, tahini and halva: share of domestic input supply that is additional (new production, not diverted from other buyers)",0.1,0.3,0.5,89.760528,89.760528,0.0,197.11328492647056,203.95063786764703,6.837352941176476,0.008091130036905302,0.008371790530062385,0.00028066049315708316,118.26797095588235,122.37038272058822,4.102411764705877,0.7737844579411767,0.9652303402941179,0.19144588235294124,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-052,Sesame hulling: share of seed that would otherwise have been exported raw,0.7,0.9,1.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,230.882076,225.627876,5.254200000000026,239442.1673810272,239442.1673810272,0.0
A-053,Raw sesame export value forgone per tonne of seed processed,1200.0,1390.0,1550.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,229.964796,225.201996,4.762799999999999,239442.1673810272,239442.1673810272,0.0
